name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New york,2025-03-24T00:00:00,42.2,35.8,29.6,60.69,0,0,,0,0,25.3,11.5,178,1020.2,100,9.9,0,0,0,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-03-24T01:00:00,42.6,36,30.2,61.3,0,0,,0,0,16.1,12,175,1019.6,100,9.9,0,0,0,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-03-24T02:00:00,42.5,36.7,30.3,61.69,0,0,,0,0,24.2,10.2,136,1019.9,95.8,9.9,0,0,0,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-03-24T03:00:00,42.7,36.4,30.7,62.28,0,0,,0,0,17.4,11.6,166,1019.1,100,9.9,0,0,0,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-03-24T04:00:00,40.5,33.3,32.9,73.91,0.015,100,rain,0,0,21,12.7,146,1017.5,100,9.9,0,0,0,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-03-24T05:00:00,39.8,33,32.1,73.69,0.001,100,rain,0,0,21.4,11.1,154,1016.9,100,9.9,0,0,0,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,F8726,KNYC,72503014732"
New york,2025-03-24T06:00:00,39.5,32.1,33.4,78.55,0.018,100,rain,0,0,24.7,12.3,158,1016.9,100,8,0,0,0,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-03-24T07:00:00,39.1,31.3,33.5,80.29,0.038,100,rain,0,0,26.9,13.2,142,1015.8,100,7.9,2,0,0,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-03-24T08:00:00,40.1,32.3,35.2,82.67,0.011,100,rain,0,0,27.9,13.8,140,1014.5,100,7.6,41,0.1,0,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-03-24T09:00:00,41.2,34.7,36.4,82.93,0.012,100,rain,0,0,24.5,11.2,130,1013,100,8,53,0.2,1,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-03-24T10:00:00,42.7,37.4,37.8,82.66,0.017,100,rain,0,0,21.2,9,130,1012.3,100,6.1,53,0.2,1,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-03-24T11:00:00,43.7,40.6,39.9,86.39,0.058,100,rain,0,0,18.8,5.3,111,1011.5,100,4,73,0.3,1,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-03-24T12:00:00,45.9,41.6,41.6,84.92,0.061,100,rain,0,0,18.6,8.2,159,1009.6,100,5.8,140,0.5,1,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-03-24T13:00:00,47.2,43.2,44,88.69,0.027,100,rain,0,0,18.3,8.3,190,1008.4,100,4,82,0.3,1,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-03-24T14:00:00,47.4,46.6,45.2,91.95,0.076,100,rain,0,0,17.4,3.2,234,1007,100,2.3,72,0.3,1,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-03-24T15:00:00,47,46.1,44.1,89.58,0.073,100,rain,0,0,11.9,3.1,337,1006.4,100,2,62,0.2,1,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,F8726,KNYC,72503014732"
New york,2025-03-24T16:00:00,46.9,45.4,43.8,89.14,0.052,100,rain,0,0,11.2,3.8,286,1006.4,100,1.5,35,0.1,0,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-03-24T17:00:00,47,47,44.1,89.46,0.069,100,rain,0,0,11,2.7,46,1005.5,94.8,4.5,66,0.2,1,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,F8726,KNYC,72503014732"
