name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
newyourk,2025-01-01T00:00:00,46.2,41.6,42.8,87.86,0,0,,0,0,19.7,9.3,69,998.7,98.1,8.8,0,0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
newyourk,2025-01-01T01:00:00,45.6,45.6,42.9,90.26,0.036,100,rain,0,0,11.9,2.6,13,998.2,100,7.4,0,0,0,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
newyourk,2025-01-01T02:00:00,45.4,43.9,42.9,90.75,0,0,,0,0,12.3,3.7,329,997.9,100,6.6,0,0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
newyourk,2025-01-01T03:00:00,45.3,45.3,42.5,89.75,0,0,,0,0,13.6,0.8,37,998.2,93.1,5.5,0,0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
newyourk,2025-01-01T04:00:00,46.7,45.6,43.6,89.01,0,0,,0,0,16.3,3.4,299,997.9,100,6.2,0,0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
newyourk,2025-01-01T05:00:00,47.7,45.8,43.8,86.36,0,0,,0,0,16.1,4.6,318,998.5,78.8,6.9,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,F1417,KNYC,72503014732"
newyourk,2025-01-01T06:00:00,47.2,42.8,43.1,85.38,0,0,,0,0,18.3,9.4,246,998.5,97.5,7.4,0,0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
newyourk,2025-01-01T07:00:00,47.2,42.9,42,82.09,0,0,,0,0,15,9.3,245,998.6,66.7,8.9,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
newyourk,2025-01-01T08:00:00,47,43.2,42,82.72,0,0,,0,0,15.2,8,238,998.6,95.7,8.2,67,0.2,1,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
newyourk,2025-01-01T09:00:00,48.1,44.3,42,79.05,0,0,,0,0,18.3,8.4,252,999.1,88.8,9.8,99,0.4,1,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,F1417,KNYC,72503014732"
newyourk,2025-01-01T10:00:00,48.5,44.9,42.2,78.65,0,0,,0,0,25.3,8.2,244,999.7,42.1,9.9,203,0.7,2,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
newyourk,2025-01-01T11:00:00,50.4,50.4,41.9,72.42,0,0,,0,0,29,8.9,260,999.8,87,9.9,169,0.6,2,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
newyourk,2025-01-01T12:00:00,50.8,50.8,38.6,62.85,0,0,,0,0,27.2,12.7,276,999.5,95.7,9.9,321,1.2,3,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
